id,date,odometer,quantity,fuel_type,vehicle_id,location
33333333-3333-3333-3333-333333333020,2025-11-02,102000,40,Gasolina,11111111-1111-1111-1111-111111111115,Posto Central
33333333-3333-3333-3333-333333333021,2025-04-13,102100,40,Gasolina,11111111-1111-1111-1111-111111111116,Posto Central
33333333-3333-3333-3333-333333333022,2025-06-30,102200,40,Gasolina,11111111-1111-1111-1111-111111111117,Posto Central
33333333-3333-3333-3333-333333333023,2025-04-14,102300,40,Gasolina,11111111-1111-1111-1111-111111111118,Posto Central
33333333-3333-3333-3333-333333333024,2026-01-29,102400,40,Gasolina,11111111-1111-1111-1111-111111111111,Posto Central
33333333-3333-3333-3333-333333333025,2025-08-14,102500,40,Gasolina,11111111-1111-1111-1111-111111111112,Posto Central
33333333-3333-3333-3333-333333333026,2025-08-29,102600,40,Gasolina,11111111-1111-1111-1111-111111111113,Posto Central
33333333-3333-3333-3333-333333333027,2026-02-20,102700,40,Gasolina,11111111-1111-1111-1111-111111111114,Posto Central
33333333-3333-3333-3333-333333333028,2025-04-09,102800,40,Gasolina,11111111-1111-1111-1111-111111111115,Posto Central
33333333-3333-3333-3333-333333333029,2026-01-24,102900,40,Gasolina,11111111-1111-1111-1111-111111111116,Posto Central
33333333-3333-3333-3333-333333333030,2026-02-19,103000,40,Gasolina,11111111-1111-1111-1111-111111111117,Posto Central
33333333-3333-3333-3333-333333333031,2025-12-10,103100,40,Gasolina,11111111-1111-1111-1111-111111111118,Posto Central
33333333-3333-3333-3333-333333333032,2025-09-26,103200,40,Gasolina,11111111-1111-1111-1111-111111111111,Posto Central
33333333-3333-3333-3333-333333333033,2025-05-13,103300,40,Gasolina,11111111-1111-1111-1111-111111111112,Posto Central
33333333-3333-3333-3333-333333333034,2025-11-03,103400,40,Gasolina,11111111-1111-1111-1111-111111111113,Posto Central
33333333-3333-3333-3333-333333333035,2025-05-31,103500,40,Gasolina,11111111-1111-1111-1111-111111111114,Posto Central
33333333-3333-3333-3333-333333333036,2025-05-21,103600,40,Gasolina,11111111-1111-1111-1111-111111111115,Posto Central
33333333-3333-3333-3333-333333333037,2025-10-03,103700,40,Gasolina,11111111-1111-1111-1111-111111111116,Posto Central
33333333-3333-3333-3333-333333333038,2025-05-06,103800,40,Gasolina,11111111-1111-1111-1111-111111111117,Posto Central
33333333-3333-3333-3333-333333333039,2025-12-21,103900,40,Gasolina,11111111-1111-1111-1111-111111111118,Posto Central
33333333-3333-3333-3333-333333333040,2025-11-23,104000,40,Gasolina,11111111-1111-1111-1111-111111111111,Posto Central
33333333-3333-3333-3333-333333333041,2025-03-20,104100,40,Gasolina,11111111-1111-1111-1111-111111111112,Posto Central
33333333-3333-3333-3333-333333333042,2025-08-02,104200,40,Gasolina,11111111-1111-1111-1111-111111111113,Posto Central
33333333-3333-3333-3333-333333333043,2026-01-23,104300,40,Gasolina,11111111-1111-1111-1111-111111111114,Posto Central
33333333-3333-3333-3333-333333333044,2025-11-01,104400,40,Gasolina,11111111-1111-1111-1111-111111111115,Posto Central
33333333-3333-3333-3333-333333333045,2025-10-31,104500,40,Gasolina,11111111-1111-1111-1111-111111111116,Posto Central
33333333-3333-3333-3333-333333333046,2025-08-16,104600,40,Gasolina,11111111-1111-1111-1111-111111111117,Posto Central
33333333-3333-3333-3333-333333333047,2025-09-04,104700,40,Gasolina,11111111-1111-1111-1111-111111111118,Posto Central
33333333-3333-3333-3333-333333333048,2025-04-28,104800,40,Gasolina,11111111-1111-1111-1111-111111111111,Posto Central
33333333-3333-3333-3333-333333333049,2025-05-17,104900,40,Gasolina,11111111-1111-1111-1111-111111111112,Posto Central
33333333-3333-3333-3333-333333333050,2025-11-23,105000,40,Gasolina,11111111-1111-1111-1111-111111111113,Posto Central
33333333-3333-3333-3333-333333333051,2026-02-26,105100,40,Gasolina,11111111-1111-1111-1111-111111111114,Posto Central
33333333-3333-3333-3333-333333333052,2025-09-28,105200,40,Gasolina,11111111-1111-1111-1111-111111111115,Posto Central
33333333-3333-3333-3333-333333333053,2025-05-04,105300,40,Gasolina,11111111-1111-1111-1111-111111111116,Posto Central
33333333-3333-3333-3333-333333333054,2025-07-16,105400,40,Gasolina,11111111-1111-1111-1111-111111111117,Posto Central
33333333-3333-3333-3333-333333333055,2025-04-07,105500,40,Gasolina,11111111-1111-1111-1111-111111111118,Posto Central
33333333-3333-3333-3333-333333333056,2025-04-12,105600,40,Gasolina,11111111-1111-1111-1111-111111111111,Posto Central
33333333-3333-3333-3333-333333333057,2025-03-14,105700,40,Gasolina,11111111-1111-1111-1111-111111111112,Posto Central
33333333-3333-3333-3333-333333333058,2025-07-14,105800,40,Gasolina,11111111-1111-1111-1111-111111111113,Posto Central
33333333-3333-3333-3333-333333333059,2025-03-18,105900,40,Gasolina,11111111-1111-1111-1111-111111111114,Posto Central
33333333-3333-3333-3333-333333333060,2025-03-20,106000,40,Gasolina,11111111-1111-1111-1111-111111111115,Posto Central
33333333-3333-3333-3333-333333333061,2026-02-01,106100,40,Gasolina,11111111-1111-1111-1111-111111111116,Posto Central
33333333-3333-3333-3333-333333333062,2025-12-24,106200,40,Gasolina,11111111-1111-1111-1111-111111111117,Posto Central
33333333-3333-3333-3333-333333333063,2025-05-04,106300,40,Gasolina,11111111-1111-1111-1111-111111111118,Posto Central
33333333-3333-3333-3333-333333333064,2025-11-21,106400,40,Gasolina,11111111-1111-1111-1111-111111111111,Posto Central
33333333-3333-3333-3333-333333333065,2025-12-31,106500,40,Gasolina,11111111-1111-1111-1111-111111111112,Posto Central
33333333-3333-3333-3333-333333333066,2025-03-19,106600,40,Gasolina,11111111-1111-1111-1111-111111111113,Posto Central
33333333-3333-3333-3333-333333333067,2025-04-25,106700,40,Gasolina,11111111-1111-1111-1111-111111111114,Posto Central
33333333-3333-3333-3333-333333333068,2026-02-07,106800,40,Gasolina,11111111-1111-1111-1111-111111111115,Posto Central
33333333-3333-3333-3333-333333333069,2025-08-16,106900,40,Gasolina,11111111-1111-1111-1111-111111111116,Posto Central
